#{'API version': '0.1.2', 'Channels': [1, 2, 3, 4, 5, 6], 'Channels indexes mV': [6, 8, 10, 12, 14, 16], 'Channels indexes raw': [5, 7, 9, 11, 13, 15], 'Channels labels': ['AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'Device': 'COM14', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'ISO 8601': '2022-05-11T16:10:57.031185', 'Resolution (bits)': [4, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12], 'Sampling rate (Hz)': 1000, 'Timestamp': 1652281857.031185}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv	AI2_raw	AI2_mv	AI3_raw	AI3_mv	AI4_raw	AI4_mv	AI5_raw	AI5_mv	AI6_raw	AI6_mv
8	0	0	0	0	1760	1689	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1763	1692	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1773	1699	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1776	1702	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1787	1713	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1793	1716	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1803	1723	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1808	1730	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1814	1733	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1824	1740	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1837	1753	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1841	1757	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1848	1760	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1853	1764	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1856	1767	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1858	1770	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1860	1770	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1861	1770	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1857	1767	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1857	1767	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1856	1767	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1857	1767	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1857	1767	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1861	1770	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1866	1777	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1869	1777	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1873	1781	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1877	1784	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1889	1794	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1899	1801	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1905	1808	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1917	1818	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1926	1825	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1936	1832	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1945	1838	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1953	1845	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1963	1855	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1968	1859	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1971	1862	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1977	1866	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1981	1869	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1984	1872	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1984	1872	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1986	1872	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1990	1876	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1994	1879	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1999	1883	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	2001	1886	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	2006	1889	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	2017	1900	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	2025	1906	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	2032	1910	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	2043	1920	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	2059	1934	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	2068	1940	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	2078	1947	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	2086	1954	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	2091	1957	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	2094	1961	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	2096	1964	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	2095	1961	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	2095	1961	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	2090	1957	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	2085	1954	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	2082	1951	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	2078	1947	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	2074	1944	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	2070	1940	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	2068	1940	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	2067	1940	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	2067	1940	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	2067	1940	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	2069	1940	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	2071	1944	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	2070	1940	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	2070	1940	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	2071	1944	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	2074	1944	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	2071	1944	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	2071	1944	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	2067	1940	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	2064	1937	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	2063	1937	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	2057	1930	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	2056	1930	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	2044	1920	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	2039	1917	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	2035	1913	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	2030	1910	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	2027	1906	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	2020	1900	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	2011	1893	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	2002	1886	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1998	1883	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1984	1872	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1972	1862	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1960	1852	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1945	1838	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1931	1828	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1915	1815	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1903	1804	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1887	1794	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1875	1784	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1862	1774	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1855	1767	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1840	1753	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1830	1747	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1819	1736	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1808	1730	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1797	1719	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1786	1709	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1776	1702	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1763	1692	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1751	1682	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1743	1675	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1733	1668	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1726	1662	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1713	1651	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1707	1645	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1693	1634	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1683	1628	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1676	1621	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1665	1611	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1652	1600	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1646	1597	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1632	1583	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1619	1573	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1613	1570	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1600	1560	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1590	1549	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1581	1543	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1567	1532	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1557	1522	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1547	1515	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1533	1505	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1523	1495	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1520	1495	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1512	1488	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1505	1481	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1501	1478	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1497	1475	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1497	1475	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1495	1475	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1492	1471	0	254	0	254	0	254	0	254	0	254
